Altium Designer Pick and Place Locations
C:\Users\Bram\Documents\Git\FlexBMS\Hardware\ModuleBoard\Project Outputs for ModuleBoard\Pick Place\Pick Place for Module Board.csv

========================================================================================================================
File Design Information:

Date:       09-07-26
Time:       23:09
Revision:   e03b4e4543919c56e98fc8a2bddf780709b7365d
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C74","CAP 0402 220pF X7R","TopLayer","WCAP-CSGP_0402_L1W0.5H0.5","91.8357","46.1642","135","GTT Standard 0402 non-polarized capacitor"
"C73","CAP 0402 220pF X7R","TopLayer","WCAP-CSGP_0402_L1W0.5H0.5","93.2499","44.7500","135","GTT Standard 0402 non-polarized capacitor"
"R8_S1","RES 0402 2kR 1%","TopLayer","FP0402","76.5000","28.0000","225","GTT Standard 0402 Resistor"
"R7_S1","RES 0603 3kR 1%","TopLayer","RES_SM0603_YAGEORC_N","73.7500","25.2500","225","GTT Standard 0603 Resistor"
"C10_S1","CAP 0402 10nF X7R","TopLayer","WCAP-CSGP_0402_L1W0.5H0.5","77.9999","27.2500","135","GTT Standard 0402 non-polarized capacitor"
"C6_S1","CAP 0603 100nF X7R","TopLayer","WCAP-CSGP_0603_L1.6W0.8H0.8_Reflow","75.7500","26.2500","135","GTT Standard 0603 non-polarized capacitor"
"C5_S1","CAP 0603 47nF X7R","TopLayer","WCAP-CSGP_0603_L1.6W0.8H0.8_Reflow","10.5000","65.7500","90","GTT Standard 0603 non-polarized capacitor"
"S1","DSIC02LSGET","TopLayer","SOP254P930X445-4N","21.0000","13.0000","90","Switch"
"J2","RJ-804-1-6","TopLayer","RJ80416","291.5000","35.4200","90","Connector"
"J1","RJ-804-1-6","TopLayer","RJ80416","8.5400","35.5100","270","Connector"
"T3","HM2103NL","TopLayer","FP-HM2103NL-MFG","279.0000","35.0000","90","XFMR CMC MODULE AECQ BATT MNGT"
"T2","HM2103NL","TopLayer","FP-HM2103NL-MFG","150.0000","40.0000","270","XFMR CMC MODULE AECQ BATT MNGT"
"T1","HM2103NL","TopLayer","FP-HM2103NL-MFG","21.0000","35.0000","270","XFMR CMC MODULE AECQ BATT MNGT"
"R60_RB_NA22","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","244.7500","20.0000","180","GTT Standard 1206 Resistor"
"R60_RB_NA21","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","127.0000","20.0000","180","GTT Standard 1206 Resistor"
"R60_RB_NA12","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","250.7500","25.0000","180","GTT Standard 1206 Resistor"
"R60_RB_NA11","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","121.0000","25.0000","180","GTT Standard 1206 Resistor"
"R60_RB_C1112","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","173.0000","60.2500","0","GTT Standard 1206 Resistor"
"R60_RB_C1111","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","55.2500","57.5000","0","GTT Standard 1206 Resistor"
"R60_RB_C122","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","179.0000","65.2500","0","GTT Standard 1206 Resistor"
"R60_RB_C121","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","49.2500","66.5000","0","GTT Standard 1206 Resistor"
"R60_RB_C102","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","179.0000","47.2500","0","GTT Standard 1206 Resistor"
"R60_RB_C101","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","49.2500","52.5000","0","GTT Standard 1206 Resistor"
"R60_RB_C92","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","173.0000","34.0000","0","GTT Standard 1206 Resistor"
"R60_RB_C91","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","55.2500","38.0000","0","GTT Standard 1206 Resistor"
"R60_RB_C82","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","179.0000","25.0000","0","GTT Standard 1206 Resistor"
"R60_RB_C81","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","49.2500","29.0000","0","GTT Standard 1206 Resistor"
"R60_RB_C72","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","173.0000","16.0000","0","GTT Standard 1206 Resistor"
"R60_RB_C71","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","55.2500","20.0000","0","GTT Standard 1206 Resistor"
"R60_RB_C62","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","179.0000","7.0000","0","GTT Standard 1206 Resistor"
"R60_RB_C61","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","49.2500","11.0000","0","GTT Standard 1206 Resistor"
"R60_RB_C52","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","250.7500","11.0000","180","GTT Standard 1206 Resistor"
"R60_RB_C51","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","121.0000","7.0000","180","GTT Standard 1206 Resistor"
"R60_RB_C42","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","244.7500","34.0000","180","GTT Standard 1206 Resistor"
"R60_RB_C41","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","127.0000","38.0000","180","GTT Standard 1206 Resistor"
"R60_RB_C32","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","250.7500","51.2500","180","GTT Standard 1206 Resistor"
"R60_RB_C31","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","121.0000","47.2500","180","GTT Standard 1206 Resistor"
"R60_RB_C22","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","244.7500","56.2500","180","GTT Standard 1206 Resistor"
"R60_RB_C21","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","127.0000","56.2500","180","GTT Standard 1206 Resistor"
"R60_RB_C12","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","250.7500","65.2500","180","GTT Standard 1206 Resistor"
"R60_RB_C11","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","121.0000","65.2500","180","GTT Standard 1206 Resistor"
"R59_RB_NA22","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","255.7500","20.0000","180","GTT Standard 1206 Resistor"
"R59_RB_NA21","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","138.0000","20.0000","180","GTT Standard 1206 Resistor"
"R59_RB_NA12","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","261.7500","25.0000","180","GTT Standard 1206 Resistor"
"R59_RB_NA11","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","132.0000","25.0000","180","GTT Standard 1206 Resistor"
"R59_RB_C1112","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","162.0000","60.2500","0","GTT Standard 1206 Resistor"
"R59_RB_C1111","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","44.2500","57.5000","0","GTT Standard 1206 Resistor"
"R59_RB_C122","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","168.0000","65.2500","0","GTT Standard 1206 Resistor"
"R59_RB_C121","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","38.2500","66.5000","0","GTT Standard 1206 Resistor"
"R59_RB_C102","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","168.0000","47.2500","0","GTT Standard 1206 Resistor"
"R59_RB_C101","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","38.2500","52.5000","0","GTT Standard 1206 Resistor"
"R59_RB_C92","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","162.0000","34.0000","0","GTT Standard 1206 Resistor"
"R59_RB_C91","RES 1206 20R 1%","BottomLayer","RES_SM1206_YAGEORC_N","44.2500","38.0000","0","GTT Standard 1206 Resistor"
