DATE,TIME,Unit1_Ch1 [V],Unit1_Ch2 [V],Unit1_Ch3 [V],Unit1_Ch4 [V],Unit1_Ch5 [V],Unit1_Ch6 [V],Unit1_Ch7 [V],Unit1_Ch8 [V],Unit1_Ch9 [V],Unit1_Ch10 [V],Unit1_Ch11 [V],Unit1_Ch12 [V],Unit1_Ch1 [A],Unit1_Ch2 [A],Unit1_Ch3 [A],Unit1_Ch4 [A],Unit1_Ch5 [A],Unit1_Ch6 [A],Unit1_Ch7 [A],Unit1_Ch8 [A],Unit1_Ch9 [A],Unit1_Ch10 [A],Unit1_Ch11 [A],Unit1_Ch12 [A]
2024-05-27,15:13:14,3.24997E+00,3.25997E+00,3.27004E+00,3.28002E+00,3.28990E+00,3.30006E+00,3.30995E+00,3.32007E+00,3.33000E+00,3.34008E+00,3.34996E+00,3.35995E+00,9.48000E-03,9.46000E-03,9.47000E-03,9.46000E-03,9.46000E-03,9.46000E-03,9.46000E-03,9.45000E-03,9.47000E-03,9.47000E-03,9.46000E-03,9.45000E-03
2024-05-27,15:13:14,3.24996E+00,3.25996E+00,3.27004E+00,3.28002E+00,3.28990E+00,3.30006E+00,3.30995E+00,3.32007E+00,3.33000E+00,3.34008E+00,3.34996E+00,3.35995E+00,9.45000E-03,9.45000E-03,9.46000E-03,9.44000E-03,9.45000E-03,9.45000E-03,9.44000E-03,9.45000E-03,9.45000E-03,9.46000E-03,9.45000E-03,9.44000E-03
2024-05-27,15:13:14,3.24997E+00,3.25997E+00,3.27004E+00,3.28002E+00,3.28990E+00,3.30005E+00,3.30995E+00,3.32007E+00,3.33000E+00,3.34008E+00,3.34996E+00,3.35995E+00,9.30000E-03,9.29000E-03,9.30000E-03,9.28000E-03,9.28000E-03,9.29000E-03,9.28000E-03,9.29000E-03,9.29000E-03,9.29000E-03,9.29000E-03,9.28000E-03
2024-05-27,15:13:14,3.24996E+00,3.25997E+00,3.27004E+00,3.28002E+00,3.28990E+00,3.30005E+00,3.30995E+00,3.32007E+00,3.33000E+00,3.34008E+00,3.34996E+00,3.35995E+00,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03
2024-05-27,15:13:15,3.24997E+00,3.25997E+00,3.27004E+00,3.28002E+00,3.28990E+00,3.30006E+00,3.30995E+00,3.32007E+00,3.33000E+00,3.34008E+00,3.34996E+00,3.35995E+00,9.46000E-03,9.45000E-03,9.46000E-03,9.45000E-03,9.44000E-03,9.45000E-03,9.45000E-03,9.45000E-03,9.45000E-03,9.46000E-03,9.46000E-03,9.45000E-03
2024-05-27,15:13:15,3.24997E+00,3.25996E+00,3.27004E+00,3.28002E+00,3.28990E+00,3.30005E+00,3.30995E+00,3.32007E+00,3.33000E+00,3.34008E+00,3.34996E+00,3.35995E+00,8.98000E-03,8.97000E-03,8.98000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.98000E-03,8.97000E-03,8.96000E-03
2024-05-27,15:13:15,3.24996E+00,3.25997E+00,3.27004E+00,3.28002E+00,3.28990E+00,3.30005E+00,3.30995E+00,3.32007E+00,3.33000E+00,3.34008E+00,3.34996E+00,3.35995E+00,9.30000E-03,9.30000E-03,9.31000E-03,9.28000E-03,9.28000E-03,9.29000E-03,9.28000E-03,9.29000E-03,9.30000E-03,9.29000E-03,9.30000E-03,9.28000E-03
2024-05-27,15:13:15,3.24996E+00,3.25996E+00,3.27004E+00,3.28002E+00,3.28990E+00,3.30005E+00,3.30995E+00,3.32007E+00,3.33000E+00,3.34008E+00,3.34996E+00,3.35995E+00,9.46000E-03,9.45000E-03,9.47000E-03,9.45000E-03,9.44000E-03,9.45000E-03,9.44000E-03,9.46000E-03,9.45000E-03,9.46000E-03,9.45000E-03,9.45000E-03
2024-05-27,15:13:15,3.24997E+00,3.25996E+00,3.27003E+00,3.28002E+00,3.28990E+00,3.30005E+00,3.30995E+00,3.32007E+00,3.33000E+00,3.34008E+00,3.34996E+00,3.35995E+00,9.30000E-03,9.29000E-03,9.30000E-03,9.28000E-03,9.28000E-03,9.28000E-03,9.28000E-03,9.28000E-03,9.30000E-03,9.29000E-03,9.29000E-03,9.29000E-03
2024-05-27,15:13:15,3.24997E+00,3.25997E+00,3.27004E+00,3.28002E+00,3.28990E+00,3.30005E+00,3.30995E+00,3.32007E+00,3.33000E+00,3.34008E+00,3.34996E+00,3.35995E+00,8.98000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.98000E-03,8.98000E-03,8.96000E-03
